obj_id,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relationships,attribute_object,attribute_event
truck_0,Prepare,2026-01-01 09:00:00,2026-01-01 09:00:00,2026-01-01 09:08:02,Role truck,C,2,3,3,2,"[1.0, 0.0, 0.0, 0.0, 0.0]",1.0,0,['Prepare'],{},{},{}
order_119,Place Order,2026-01-01 09:10:36,2026-01-01 09:10:46,2026-01-01 09:21:56,Role 1 order,Francy,7,8,56,4,"[0.67, 1.0, 0.0, 0.0, 0.0]",1.0,0,['Place Order'],"{'item_119_0', 'item_119_1'}",{},{}
item_119_0,Select,2026-01-01 09:21:56,2026-01-01 09:21:56,2026-01-01 09:22:56,Role 1 item,Pete,58,58,64,2,"[0.67, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_119'},{'Price': 721},{}
item_119_1,Select,2026-01-01 09:21:56,2026-01-01 09:21:56,2026-01-01 09:22:56,Role 1 item,Sue,58,58,64,2,"[0.67, 1.0, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_119'},{'Price': 690},{}
item_119_0,Pick Item,2026-01-01 09:22:56,2026-01-01 09:22:56,2026-01-01 09:27:02,Role 2 item,Bob,64,64,85,2,"[0.67, 1.0, 0.0, 0.0, 0.5]",0.5,0,"['Select', 'Pick Item']",{'order_119'},{'Price': 721},{}
item_119_1,Pick Item,2026-01-01 09:22:56,2026-01-01 09:22:56,2026-01-01 09:27:29,Role 2 item,Alice,64,64,87,2,"[0.67, 1.0, 0.0, 0.0, 0.5]",0.5,0,"['Select', 'Pick Item']",{'order_119'},{'Price': 690},{}
order_71,Place Order,2026-01-01 09:10:26,2026-01-01 09:10:36,2026-01-01 09:35:08,Role 1 order,Dylan,6,7,112,3,"[0.67, 0.75, 0.0, 0.0, 0.0]",0.75,0,['Place Order'],"{'item_71_0', 'item_71_1'}",{},{}
order_158,Place Order,2026-01-01 09:10:48,2026-01-01 09:35:08,2026-01-01 09:35:08,Role 1 order,Dylan,9,114,114,4,"[0.67, 1.0, 0.0, 0.0, 0.0]",1.0,1,['Place Order'],"{'item_158_1', 'item_158_0'}",{},{}
item_71_0,Select,2026-01-01 09:35:08,2026-01-01 09:35:08,2026-01-01 09:36:08,Role 1 item,Max,114,114,118,2,"[0.67, 0.75, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_71'},{'Price': 479},{}
item_71_1,Select,2026-01-01 09:35:08,2026-01-01 09:35:08,2026-01-01 09:36:08,Role 1 item,Sara,114,114,118,2,"[0.67, 0.75, 0.0, 0.5, 0.0]",0.5,0,['Select'],{'order_71'},{'Price': 176},{}
item_158_0,Select,2026-01-01 09:35:08,2026-01-01 09:35:08,2026-01-01 09:36:08,Role 1 item,Pete,116,116,118,4,"[0.67, 1.0, 0.0, 1.0, 0.0]",1.0,0,['Select'],{'order_158'},{'Price': 120},{}
item_158_1,Select,2026-01-01 09:35:08,2026-01-01 09:35:08,2026-01-01 09:36:08,Role 1 item,Sue,116,116,118,4,"[0.67, 1.0, 0.0, 1.0, 0.0]",1.0,0,['Select'],{'order_158'},{'Price': 813},{}
